Processed 10000
Processed 20000
Processed 30000
Processed 40000
Processed 50000
Processed 60000
Processed 70000
Processed 80000
Processed 90000
Processed 100000
Processed 110000
Processed 120000
Processed 130000
Processed 140000
Processed 150000
Processed 160000
Processed 170000
Processed 180000
Processed 190000

Finished processing.

===== Flow Statistics =====
Total packets: 191685
Lost segments: 498

===== MLT Summary =====
Total MLT samples: 15851
1772359235.830903 | ('43.141.111.180', 443, '183.172.73.211', 55635) | type=b2b | MLT=5.1e-05
1772359235.83493 | ('183.172.73.211', 55212, '222.192.186.40', 443) | type=data | MLT=0.037655
1772359235.834932 | ('183.172.73.211', 55212, '222.192.186.40', 443) | type=data | MLT=0.037634
1772359235.840672 | ('183.172.73.211', 55212, '222.192.186.40', 443) | type=data | MLT=0.037559
1772359235.840673 | ('183.172.73.211', 55212, '222.192.186.40', 443) | type=data | MLT=0.037524
1772359235.849058 | ('183.172.73.211', 55212, '222.192.186.40', 443) | type=data | MLT=0.039368
1772359235.849063 | ('183.172.73.211', 55212, '222.192.186.40', 443) | type=data | MLT=0.039354
1772359235.849064 | ('183.172.73.211', 55212, '222.192.186.40', 443) | type=data | MLT=0.037872
1772359235.849064 | ('183.172.73.211', 55212, '222.192.186.40', 443) | type=data | MLT=0.03786
1772359235.849183 | ('222.199.191.35', 443, '183.172.73.211', 55636) | type=b2b | MLT=0.00012
1772359235.852877 | ('183.172.73.211', 55212, '222.192.186.40', 443) | type=data | MLT=0.039589
1772359235.852879 | ('183.172.73.211', 55212, '222.192.186.40', 443) | type=data | MLT=0.039576
1772359235.858464 | ('43.141.111.180', 443, '183.172.73.211', 55635) | type=b2b | MLT=9.4e-05
1772359235.866746 | ('43.141.111.180', 443, '183.172.73.211', 55635) | type=data | MLT=8.9e-05
1772359235.875046 | ('222.199.191.35', 443, '183.172.73.211', 55636) | type=b2b | MLT=0.000127
1772359235.879744 | ('222.192.186.40', 443, '183.172.73.211', 55212) | type=b2b | MLT=7.8e-05
1772359235.881738 | ('222.192.186.40', 443, '183.172.73.211', 55212) | type=b2b | MLT=6e-05
1772359235.887217 | ('222.192.186.40', 443, '183.172.73.211', 55212) | type=b2b | MLT=5.8e-05
1772359235.888485 | ('222.192.186.40', 443, '183.172.73.211', 55212) | type=b2b | MLT=2.9e-05
1772359235.900255 | ('183.172.73.211', 51562, '170.178.162.203', 50443) | type=data | MLT=0.193731
1772359235.954916 | ('183.172.73.211', 55212, '222.192.186.40', 443) | type=b2b | MLT=0.038925
1772359235.961456 | ('183.172.73.211', 55212, '222.192.186.40', 443) | type=b2b | MLT=0.037922
1772359235.963798 | ('183.172.73.211', 55212, '222.192.186.40', 443) | type=b2b | MLT=0.038997
1772359235.999184 | ('222.192.186.40', 443, '183.172.73.211', 55212) | type=b2b | MLT=0.000129
1772359235.999239 | ('43.141.111.180', 443, '183.172.73.211', 55635) | type=b2b | MLT=0.000185
1772359236.002754 | ('222.192.186.40', 443, '183.172.73.211', 55212) | type=b2b | MLT=0.0001
1772359236.099961 | ('42.186.118.14', 443, '183.172.73.211', 51512) | type=data | MLT=0.000172
1772359236.137944 | ('183.172.73.211', 51512, '42.186.118.14', 443) | type=data | MLT=0.037329
1772359236.290305 | ('183.172.73.211', 53911, '121.194.11.75', 443) | type=data | MLT=0.004324
1772359236.290424 | ('121.194.11.75', 443, '183.172.73.211', 53911) | type=data | MLT=0.000119
1772359236.3306 | ('121.194.11.75', 443, '183.172.73.211', 53911) | type=b2b | MLT=8.7e-05
1772359236.373143 | ('183.172.73.211', 54482, '170.178.162.203', 50443) | type=data | MLT=0.188762
1772359236.407718 | ('170.178.162.203', 50443, '183.172.73.211', 54482) | type=data | MLT=0.00011
1772359236.596871 | ('170.178.162.203', 50443, '183.172.73.211', 51550) | type=data | MLT=0.000188
1772359236.667991 | ('183.172.73.211', 55212, '222.192.186.40', 443) | type=b2b | MLT=0.050113
1772359236.667995 | ('183.172.73.211', 55212, '222.192.186.40', 443) | type=b2b | MLT=0.050091
1772359236.667997 | ('183.172.73.211', 55212, '222.192.186.40', 443) | type=b2b | MLT=0.050068
1772359236.667998 | ('183.172.73.211', 55212, '222.192.186.40', 443) | type=b2b | MLT=0.050047
1772359236.667999 | ('183.172.73.211', 55212, '222.192.186.40', 443) | type=data | MLT=0.050045
1772359236.668 | ('183.172.73.211', 55212, '222.192.186.40', 443) | type=data | MLT=0.050028
1772359236.668001 | ('183.172.73.211', 55212, '222.192.186.40', 443) | type=b2b | MLT=0.050004
1772359236.668002 | ('183.172.73.211', 55212, '222.192.186.40', 443) | type=b2b | MLT=0.049975
1772359236.668003 | ('183.172.73.211', 55212, '222.192.186.40', 443) | type=b2b | MLT=0.049891
1772359236.668004 | ('183.172.73.211', 55212, '222.192.186.40', 443) | type=b2b | MLT=0.049834
1772359236.705458 | ('222.192.186.40', 443, '183.172.73.211', 55212) | type=b2b | MLT=0.000116
1772359236.796809 | ('183.172.73.211', 51550, '170.178.162.203', 50443) | type=data | MLT=0.197796
1772359236.848535 | ('183.172.73.211', 53911, '121.194.11.75', 443) | type=data | MLT=0.00863
1772359236.959057 | ('183.172.73.211', 51895, '43.137.190.42', 8080) | type=data | MLT=0.036154
1772359236.968962 | ('43.137.190.42', 8080, '183.172.73.211', 51895) | type=data | MLT=1.354796
1772359237.299757 | ('121.194.11.75', 443, '183.172.73.211', 53911) | type=b2b | MLT=0.000107
1772359237.321276 | ('183.172.73.211', 55156, '121.194.1.25', 443) | type=data | MLT=0.005478
1772359237.329012 | ('183.172.73.211', 55156, '121.194.1.25', 443) | type=data | MLT=0.005263
1772359237.33308 | ('183.172.73.211', 55636, '222.199.191.35', 443) | type=data | MLT=0.0067
1772359237.337982 | ('183.172.73.211', 55636, '222.199.191.35', 443) | type=data | MLT=0.004789
1772359237.344488 | ('183.172.73.211', 55636, '222.199.191.35', 443) | type=data | MLT=0.006413
